# vqn, jqn, No Levels,  % Levels
    0,   0,        60, 1.0033E+01
    1,   0,        57, 9.5318E+00
    2,   0,        54, 9.0301E+00
    3,   0,        51, 8.5284E+00
    4,   0,        48, 8.0268E+00
    5,   0,        45, 7.5251E+00
    6,   0,        42, 7.0234E+00
    7,   0,        39, 6.5217E+00
    8,   0,        36, 6.0201E+00
    9,   0,        33, 5.5184E+00
   10,   0,        30, 5.0167E+00
   11,   0,        27, 4.5151E+00
   12,   0,        24, 4.0134E+00
   13,   0,        20, 3.3445E+00
   14,   0,        16, 2.6756E+00
   15,   0,        11, 1.8395E+00
   16,   0,         5, 8.3612E-01
